ID,TYPE,VALUE_MIN,VALUE_MAX,R,G,B
0,AQI,0,1,255,0,0
1,AQI,1,2,255,24,0
2,AQI,2,3,255,48,0
3,AQI,3,4,255,72,0
4,AQI,4,5,255,120,0
5,AQI,5,6,255,143,0
6,AQI,6,7,255,167,0
7,AQI,7,8,255,191,0
8,AQI,8,9,255,239,0
9,AQI,9,10,247,255,0
10,AQI,10,11,223,255,0
11,AQI,11,12,199,255,0
12,AQI,12,13,175,255,0
13,AQI,13,14,128,255,0
14,AQI,14,15,104,255,0
15,AQI,15,16,80,255,0
16,AQI,16,17,56,255,0
17,AQI,17,18,8,255,0
18,AQI,18,19,0,255,16
19,AQI,19,20,0,255,40
20,AQI,20,21,0,255,64
21,AQI,21,22,0,255,88
22,AQI,22,23,0,255,135
23,AQI,23,24,0,255,159
24,AQI,24,25,0,255,183
25,AQI,25,26,0,255,207
26,AQI,26,27,0,255,255
27,AQI,27,28,0,231,255
28,AQI,28,29,0,207,255
29,AQI,29,30,0,183,255
30,AQI,30,31,0,159,255
31,AQI,31,32,0,112,255
32,AQI,32,33,0,88,255
33,AQI,33,34,0,64,255
34,AQI,34,35,0,40,255
35,AQI,35,36,8,0,255
36,AQI,36,37,32,0,255
37,AQI,37,38,56,0,255
38,AQI,38,39,80,0,255
39,AQI,39,40,104,0,255
40,AQI,40,41,151,0,255
41,AQI,41,42,175,0,255
42,AQI,42,43,199,0,255
43,AQI,43,44,223,0,255
44,AQI,44,999,255,0,239
